Character;100 symbols;1000 symbols;10000 symbols;100000 symbols;All symbols
‎;0;0;0;0;6E-06
縣;0;0;0;0;6E-06
ھ;0;0;0;0;6E-06
ア;0;0;0;0;6E-06
Ô;0;0;0;0;6E-06
∂;0;0;0;0;6E-06
ɑ;0;0;0;0;6E-06
ন;0;0;0;0;6E-06
ლ;0;0;0;0;6E-06
ర;0;0;0;0;6E-06
義;0;0;0;0;6E-06
都;0;0;0;0;6E-06
ề;0;0;0;0;6E-06
ʃ;0;0;0;0;6E-06
آ;0;0;0;0;6E-06
Ф;0;0;0;0;6E-06
ു;0;0;0;0;6E-06
ས;0;0;0;0;6E-06
য;0;0;0;0;6E-06
්;0;0;0;0;6E-06
ี;0;0;0;0;6E-06
Ш;0;0;0;0;6E-06
た;0;0;0;0;6E-06
て;0;0;0;0;6E-06
陳;0;0;0;0;6E-06
ロ;0;0;0;0;6E-06
ָ;0;0;0;0;6E-06
ự;0;0;0;0;6E-06
Ц;0;0;0;0;6E-06
մ;0;0;0;0;6E-06
ʊ;0;0;0;0;6E-06
書;0;0;0;0;6E-06
建;0;0;0;0;6E-06
花;0;0;0;0;6E-06
ല;0;0;0;0;6E-06
ǒ;0;0;0;0;6E-06
ত;0;0;0;0;6E-06
ے;0;0;0;0;6E-06
్;0;0;0;0;6E-06
京;0;0;0;0;6E-06
宣;0;0;0;0;6E-06
女;0;0;0;0;6E-06
タ;0;0;0;0;6E-06
う;0;0;0;0;6E-06
コ;0;0;0;0;6E-06
̄;0;0;0;0;6E-06
百;0;0;0;0;6E-06
ṯ;0;0;0;0;6E-06
な;0;0;0;0;6E-06
心;0;0;0;0;6E-06
რ;0;0;0;0;6E-06
德;0;0;0;0;6E-06
ะ;0;0;0;0;6E-06
ん;0;0;0;0;6E-06
二;0;0;0;0;6E-06
美;0;0;0;0;6E-06
河;0;0;0;0;6E-06
้;0;0;0;0;6E-06
ג;0;0;0;0;6E-06
軍;0;0;0;0;6E-06
ւ;0;0;0;0;6E-06
林;0;0;0;0;6E-06
 ;0;0;0;0;6E-06
ỗ;0;0;0;0;6E-06
ј;0;0;0;0;6E-06
物;0;0;0;0;6E-06
樂;0;0;0;0;6E-06
ে;0;0;0;0;6E-06
Υ;0;0;0;0;6E-06
